rank,player_id,name,conservative_rating,rating,rd,sets_played
361,1841371,Mustard | Cozy K.(A),1327.8,1494.1,83.2,58
362,1401818,Jefff,1326.8,1709.6,191.4,70
363,4465414,N25/DC | MikuMikuBeam>-<,1326.7,1429.2,51.3,115
364,811118,Rigz / Kiranchi,1326.5,1834.9,254.2,8
365,160068,!== | tropidolaemus,1322.3,1449.6,63.6,121
366,144195,mTx | MOB | SteR ThA KiiD,1321.9,1449.6,63.9,1125
367,61785,G5 | Jack777,1319.2,1734.6,207.7,24
368,1034801,DEWM | Mr. Reasonable,1319.2,1461.2,71.0,352
369,1340702,CHP | Mang0 fan,1317.5,1647.4,164.9,13
370,991550,PhDream,1316.7,1884.7,284.0,2
371,4681049,GutBustr,1315.4,1446.7,65.6,130
372,345629,PCNinja,1314.7,1595.8,140.6,58
373,3107231,POP Smash | Zucaritas03,1314.6,1465.3,75.4,140
374,3124553,Enharmonic,1314.3,1448.6,67.2,107
375,3920247,Raptor,1314.0,1727.9,206.9,5
376,3315641,Team red | Ajred,1313.6,1534.0,110.2,75
377,2609146,THE BOIS | Imapotato,1311.5,1437.2,62.8,139
378,610275,Birch,1311.2,1524.4,106.6,68
379,180459,Fence,1303.0,1743.7,220.3,5
380,2933000,Fantasy,1301.8,1477.7,87.9,78
381,711721,Dreagune,1301.8,1422.2,60.2,509
382,4928847,BB8,1300.2,1759.0,229.4,4
383,1043822,Vestation,1300.0,1566.3,133.2,79
384,1588491,sap.(B),1298.4,1452.2,76.9,69
385,862970,muscle milk,1297.4,1459.1,80.8,83
386,533304,Troll_Tactics,1296.1,1450.2,77.0,68
387,2084268,SBU | Griever,1294.1,1492.2,99.1,52
388,920328,Cheech,1293.3,1484.1,95.4,294
389,3117153,WattMex,1292.9,1457.2,82.1,70
390,29244,DK DAN,1289.2,1683.6,197.2,51
391,1296443,CMU | stubborn,1288.9,1482.4,96.8,67
392,3308794,Iona | Lubando,1287.6,1633.0,172.7,9
393,2239925,TXC | JustRice15,1285.6,1458.2,86.3,31
394,250834,Abso,1285.5,1482.9,98.7,117
395,49915,2can,1285.1,1531.1,123.0,80
396,2466509,CV | Thale_X,1285.0,1392.8,53.9,407
397,1659330,SamSam,1284.3,1583.5,149.6,71
398,1085549,Judas Jackrabbit,1283.4,1391.8,54.2,126
399,576268,LVD | Suarez,1282.5,1736.1,226.8,10
400,4644446,Red Bull | LowIQRoy,1281.2,1554.3,136.6,10
401,3333888,Ornik,1279.9,1492.6,106.4,217
402,171700,Dr. Bondie,1279.3,1413.6,67.1,89
403,1708766,p0wer,1278.0,1638.1,180.0,6
404,2982200,Kyoma(A),1277.2,1437.1,80.0,75
405,1054597,Terence,1276.8,1593.7,158.4,22
406,143630,Don / Clive,1276.8,1734.2,228.7,5
407,2392742,Venrid,1276.3,1445.8,84.7,87
408,344679,ΘF | Ginja,1274.6,1420.2,72.8,136
409,146691,Rob Boss,1273.5,1595.1,160.8,43
410,573466,WC gaming | | User,1272.5,1497.3,112.4,530
411,1964748,Fate,1270.7,1511.7,120.5,67
412,131530,EON | Opana,1265.6,1557.5,145.9,79
413,4287882,Stelter,1264.9,1695.5,215.3,4
414,2396760,SBU | Demon Mode,1264.6,1391.0,63.2,115
415,1099914,Bimbus,1263.7,1584.9,160.6,75
416,3101298,NP | jaymo,1261.4,1380.2,59.4,194
