rank,player_id,name,conservative_rating,rating,rd,sets_played
534,5222692,Raptor,1133.9,1499.8,182.9,5
535,3917953,Asteria,1133.5,1486.7,176.6,9
536,1085224,slate,1129.0,1534.0,202.5,7
537,4412243,H-Meister,1127.7,1611.3,241.8,3
538,50963,EnbyFish,1126.4,1501.4,187.5,66
539,2670551,SHU | Arc,1126.0,1258.3,66.2,145
540,1091411,IHL,1125.8,1486.0,180.1,155
541,147824,TSG | Mr.L,1125.0,1578.0,226.5,11
542,4523561,Octobro_,1122.0,1282.8,80.4,54
543,184077,UC | Mayyro,1121.9,1423.8,151.0,85
544,2504996,sls,1121.3,1504.2,191.4,6
545,1601827,Lemon,1118.7,1583.6,232.5,8
546,3932776,Stelter,1118.5,1574.5,228.0,4
547,997455,8Tigre24,1117.8,1676.6,279.4,2
548,2965327,B Team | Silly | Kira,1117.4,1247.6,65.1,117
549,2890513,Blair,1115.9,1382.6,133.4,103
550,2591464,TFO256,1115.1,1730.0,307.4,1
551,1437134,Solfege,1114.4,1273.4,79.5,113
552,183126,GODFiDENT / eviL,1113.8,1523.1,204.7,14
553,1261375,TSM | Wylder,1109.6,1480.4,185.4,101
554,1601315,Azublazer,1109.2,1740.6,315.7,1
555,22047,BRED,1109.0,1597.3,244.2,7
556,1009070,Ego | TAMU-C | Maple,1108.4,1467.2,179.4,7
557,126395,Old LTCT,1107.2,1593.0,242.9,3
558,1159867,Gamez Zone | PrimeTime,1106.9,1531.8,212.4,4
559,1440849,ODSY | Tharpy,1105.3,1425.8,160.2,9
560,1592885,Adam,1104.6,1729.1,312.3,1
561,945989,AceAttorneyist,1104.3,1537.7,216.7,5
562,952373,ENC | Soto,1100.0,1382.0,141.0,67
563,2896387,dbfc | gObe,1097.6,1306.0,104.2,92
564,3053454,TM | Bardo,1097.1,1394.3,148.6,21
565,1565806,Charles,1095.4,1724.4,314.5,1
566,1488238,Waypoint,1091.8,1711.8,310.0,1
567,509977,Dabble,1088.8,1471.9,191.6,72
568,1364219,GRNT | summitsun,1086.1,1479.9,196.9,11
569,3696138,Suslord,1085.5,1377.3,145.9,30
570,866133,CookingMama,1085.3,1477.9,196.3,69
571,1723443,JBergs,1083.0,1376.1,146.6,68
572,2456696,Arkyluky,1081.9,1499.6,208.8,5
573,27632,TSG | Wolf,1080.7,1479.7,199.5,44
574,3238423,m?n | PHG/SJI | mom?gaming,1079.3,1208.5,64.6,124
575,1913227,Nindo,1077.7,1264.2,93.2,52
576,5341266,GuyGagné,1076.8,1411.6,167.4,7
577,2820635,Jam,1075.2,1571.4,248.1,3
578,1881101,RVN | FrBz | ttv/BlitzzNY,1074.9,1696.0,310.6,1
