rank,entrant_id,name,elo,sets_played
589,753836,3D | Juuuuul,1592.0,8
590,4501421,MOB | Sir Moves,1591.9,7
591,1071318,UD | MPg,1591.6,7
592,869771,SU | Kipp,1591.3,7
593,4708995,apinhead,1591.1,156
594,245147,BmX,1590.9,11
595,3747879,GOAT EATER,1590.7,104
596,3552179,Condy (A),1590.6,40
597,2059142,ZMR | Beetlethebard,1590.6,11
598,260177,RES | RobbieAK47,1590.3,14
599,3249566,EDLN | Octo,1590.0,116
600,1530122,Humble Genius,1589.8,10
601,796048,ENC | Drilago,1589.6,1179
602,708513,LUX | victory,1588.9,103
603,3616043,RW| | Bri-Guy,1588.5,73
604,3601968,Magnus Carlton,1588.1,6
605,650168,EON | Walla,1587.8,23
606,2966770,luisfr,1587.8,59
607,3620468,Kaliber,1587.6,112
608,4069233,SCB / UG | Ryzakyn,1587.6,7
609,4557694,Girlypop hit & run,1587.5,7
610,63605,NBG | Pelca,1587.4,9
611,4557714,REV | LevelOne,1587.4,141
612,1349650,Mattyton,1587.3,5
613,185040,Aero,1586.7,10
614,374672,Reverb,1586.6,21
615,327906,GUMP2 | Key,1586.6,7
616,2707000,Will,1586.5,5
617,4381444,YBG | Snowbunny Mind Control,1586.5,298
618,3799114,Quidd,1586.4,5
619,1007323,SBU | Glial,1586.3,115
620,3650929,EOI | Pizzaritos,1586.3,7
621,1654888,AoC | Kitana,1586.2,103
622,2006693,CHP | Relaxe,1586.2,338
623,1731974,Ryan,1586.2,83
624,1112255,GIANT | fart,1585.9,103
625,1762779,X!Akuma,1585.8,134
626,3015864,Otaku,1585.7,6
627,963186,Armed Robbery,1585.1,95
628,2130599,Badplayer シ | Cellist,1585.1,43
629,4783971,Marcotics,1585.0,5
630,1151464,AG,1585.0,8
631,1673862,RANDOM / iNsane,1584.3,7
632,128671,QueVeen,1584.3,38
633,1214682,Sh-Awe,1584.2,139
634,3689884,PEAK | Zexoh,1583.9,47
635,3313383,God's Plan | Madeline On Deck,1583.5,6
636,1529812,FBI | MaouSilver,1583.1,333
637,1751760,Alex | The Freakinator,1583.0,61
638,252377,Slasher,1582.7,24
639,358859,CHV | | ligarachi,1582.6,76
640,5389972,onins,1582.5,4
641,2987715,GORDO | TFO256,1582.2,7
642,997342,716 | winters,1582.1,109
643,2070314,TheBlockMan,1582.1,7
